LEVEL_1_CASE_TYPE,CASE_NUMBER,CASE_HASHKEY,LEVEL_2_CASE_TYPE,DOCUMENT_ID,DOCUMENT_FILED_DATE,DOCUMENT_NAME,SOURCE_SYSTEM_ID,DOCUMENT_HASHKEY,DOCUMENT_TYPE,DOCUMENT_NUMBER,DOCUMENT_NAME_DRIVE,LINK_DRIVE
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",104879520,2024-12-05 00:00:00.000,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2,935365330134728097784203465352488697,Costs,CST040,declaration_24chlc00247_104879520,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",104879519,2024-12-09 00:00:00.000,Writ of Execution,2,135430767944664237744673427201232781,Writ,WRIT030,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",106049901,2025-02-04 00:00:00.000,Declaration (name extension),2,634665980595334298558111272282586657,Declaration,DEC010,declaration_24chlc00247_106049901,https://drive.google.com/file/d/1ZAdU1g05DgFM7Uv5xW5qxd0WsfeblNGP/view?usp=drivesdk
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",110858330,2025-08-29 00:00:00.000,Acknowledgment of Satisfaction of Judgment,2,848667421956729547719065136336646891,Post Judgment,PJ020,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",111105859,2025-09-05 00:00:00.000,Writ - Return,2,821223871914200726989637040640168612,Writ,WRIT055,,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97888570,2024-01-09 00:00:00.000,Complaint,2,1172599541006170365029180001334601479,Complaint,COM040,complaint_24chlc00758_97888570,https://drive.google.com/file/d/1eZSKprmRD8cvbGm6WY31lOzcfvLCuV32/view?usp=drivesdk
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97888571,2024-01-09 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),2,479523753517259741115088257548738349,Declaration,DEC075,declaration_24chlc00758_97888571,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97888572,2024-01-09 00:00:00.000,Civil Case Cover Sheet,2,211051768179530499199299503899825680,Miscellaneous,MISC020,,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97888573,2024-01-09 00:00:00.000,Summons,2,863306614754299282729766305498497304,Issuance,ISS030,,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97888574,2024-01-09 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",2,140781512584001513213687230394601871,Order to Show Cause,OSC030,,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97888575,2024-01-09 00:00:00.000,Notice of Case Assignment - Limited Civil Case,2,622220387189322140451879583393510283,Notice,NTC040L,,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98678284,2024-02-16 00:00:00.000,Proof of Service by Substituted Service,2,1037275308242887560732585178221673759,Proof of Service,POS160,,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",103710585,2024-10-15 00:00:00.000,Request for Entry of Default / Judgment,2,605009803206073748839383819970608636,Request,REQ080,request_for_default_judgment_24chlc00758_103710585,https://drive.google.com/file/d/18OTC-s20YAZOyLObUgznmtNZLcgYZiuZ/view?usp=drivesdk
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",103710586,2024-10-15 00:00:00.000,Declaration of Costs - CCP 1033,2,833677613553318060060393485932184565,Costs,CST010,declaration_24chlc00758_103710586,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",103710589,2024-10-15 00:00:00.000,Declaration Pursuant to 585 CCP in Support of Default Judgment,2,225797711800423398478417169976743402,Declaration,DEC071,declaration_24chlc00758_103710589,https://drive.google.com/file/d/1ttkGTOnd5pWIw0jAEnlAi2UfEONyLc-L/view?usp=drivesdk
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",103710590,2024-10-15 00:00:00.000,Request for Dismissal,2,730894637915370624877390070191307998,Request,REQ070,,
Collections,24CHLC00758,349547058771139840,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",103710588,2024-10-17 00:00:00.000,Judgment,2,800488041638585801595425917424101674,Judgment,JUD015,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98089310,2024-01-18 00:00:00.000,Complaint,2,1256759404447203369704803532076740462,Complaint,COM040,complaint_24chlc01551_98089310,https://drive.google.com/file/d/1MLryJcuW3Fzhv3GLNKYn6I9YL6JFPFfY/view?usp=drivesdk
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98089311,2024-01-18 00:00:00.000,Summons,2,350121141052728049096358555315028968,Issuance,ISS030,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98089312,2024-01-18 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),2,1210715713448768552009956203075163837,Declaration,DEC075,declaration_24chlc01551_98089312,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98089313,2024-01-18 00:00:00.000,Civil Case Cover Sheet,2,1157775918022917288744558997822878567,Miscellaneous,MISC020,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98089315,2024-01-18 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",2,464089233210951342084306229918320328,Order to Show Cause,OSC030,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98089317,2024-01-18 00:00:00.000,Notice of Case Assignment - Limited Civil Case,2,317654194239287284992244893939447670,Notice,NTC040L,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98558368,2024-02-09 00:00:00.000,Proof of Personal Service,2,444863443893194115270400302995946673,Proof of Service,POS110,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101308678,2024-06-20 00:00:00.000,Request for Entry of Default / Judgment,2,379071406832128844088522824722397356,Request,REQ080,request_for_default_judgment_24chlc01551_101308678,https://drive.google.com/file/d/1ovquBr36ylezlrs61OcFZmaQzuDPaepQ/view?usp=drivesdk
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101308680,2024-06-20 00:00:00.000,Declaration (name extension),2,138097639418083569102134204463872538,Declaration,DEC010,declaration_24chlc01551_101308680,https://drive.google.com/file/d/17hk48j6BKx_uwRoq2MgeV0oig8LKeWSw/view?usp=drivesdk
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101308681,2024-06-20 00:00:00.000,Summary of the Case,2,932477719895710934344343815957854861,Miscellaneous,MISC145,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101308682,2024-06-20 00:00:00.000,Declaration re: Attorney's Fees,2,122165146273780334967021671332970713,Declaration,DEC080,declaration_24chlc01551_101308682,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101308683,2024-06-20 00:00:00.000,Declaration of Costs - CCP 1033,2,1163128303377190344642128958009187104,Costs,CST010,declaration_24chlc01551_101308683,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101308684,2024-06-20 00:00:00.000,Request for Dismissal,2,707146687416656434202544500278383263,Request,REQ070,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101308679,2024-06-26 00:00:00.000,Judgment,2,343901812872539885327213439787796257,Judgment,JUD015,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",103784323,2024-10-18 00:00:00.000,Writ of Execution,2,445221269412669880058165838001822197,Writ,WRIT030,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",103784324,2024-10-18 00:00:00.000,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2,235237017283127280367102958757093077,Costs,CST040,declaration_24chlc01551_103784324,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",106787759,2025-03-07 00:00:00.000,Declaration (name extension),2,693555231673192002879664816403720917,Declaration,DEC010,declaration_24chlc01551_106787759,https://drive.google.com/file/d/1IwekoJrYCtmlJQHgM_bkJlxbbFZoe5LV/view?usp=drivesdk
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",107395671,2025-04-03 00:00:00.000,Acknowledgment of Satisfaction of Judgment,2,977141700722390974450760576236462290,Post Judgment,PJ020,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",107395672,2025-04-03 00:00:00.000,Proof of Service by Mail,2,1177920016103512503643948573639182594,Proof of Service,POS150,,
Collections,24CHLC01551,72565073594334832,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",108091770,2025-05-01 00:00:00.000,Writ - Return,2,574787397427327149512716471993178052,Writ,WRIT055,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98148901,2024-01-19 00:00:00.000,Complaint,2,57759197734202333626206677893134875,Complaint,COM040,complaint_24chlc01976_98148901,https://drive.google.com/file/d/1_tZfBhI_uMJD3TGJn7FS5LD5qhBszcs7/view?usp=drivesdk
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98148902,2024-01-19 00:00:00.000,Civil Case Cover Sheet,2,478668711675817314501239219998494862,Miscellaneous,MISC020,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98148903,2024-01-19 00:00:00.000,Summons,2,106754514239541524643373711095020101,Issuance,ISS030,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98148904,2024-01-19 00:00:00.000,Declaration (name extension),2,795216173738128358717072644042981214,Declaration,DEC010,declaration_24chlc01976_98148904,https://drive.google.com/file/d/1vp0Eagx-J4GQEVATgohNdOoJpIRrL-p4/view?usp=drivesdk
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98148905,2024-01-19 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",2,928711245638585934204180779775516998,Order to Show Cause,OSC030,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98148907,2024-01-19 00:00:00.000,Notice of Case Assignment - Limited Civil Case,2,909048851910476801592336085180116580,Notice,NTC040L,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98358505,2024-01-31 00:00:00.000,Proof of Personal Service,2,584530320088540126799003537430085200,Proof of Service,POS110,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101097566,2024-06-11 00:00:00.000,Request for Entry of Default / Judgment,2,469968524714019264565592603466998864,Request,REQ080,request_for_default_judgment_24chlc01976_101097566,https://drive.google.com/file/d/1kbSjdV-4nVYzorIf68ImQwfiuhQUHAiK/view?usp=drivesdk
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101097569,2024-06-11 00:00:00.000,Declaration (name extension),2,1163468784699636310317203412136416731,Declaration,DEC010,declaration_24chlc01976_101097569,https://drive.google.com/file/d/18VkPTsKHqMCn1nWboXD3DTGnHaPWAvxs/view?usp=drivesdk
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101097570,2024-06-11 00:00:00.000,Declaration (name extension),2,1212643634300146652407600399016585057,Declaration,DEC010,declaration_24chlc01976_101097570,https://drive.google.com/file/d/103F7U-4K9JRSF1VkG8hjUdEZWjTCCXRh/view?usp=drivesdk
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101097571,2024-06-11 00:00:00.000,Request for Dismissal,2,710047871628215160604746599713740031,Request,REQ070,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101097572,2024-06-11 00:00:00.000,Declaration of Costs - CCP 1033,2,65654472445585551906723585399395390,Costs,CST010,declaration_24chlc01976_101097572,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101097573,2024-06-11 00:00:00.000,Declaration (name extension),2,941634647172330774876676258940707673,Declaration,DEC010,declaration_24chlc01976_101097573,https://drive.google.com/file/d/1QO1tcAuA1PTKlrPPhq7fa_e4J7sQDODq/view?usp=drivesdk
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",101097568,2024-06-14 00:00:00.000,Judgment,2,492451157703947778549073861752252837,Judgment,JUD015,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",105629619,2025-01-16 00:00:00.000,Writ of Execution,2,1249978888243836949998611524135813166,Writ,WRIT030,,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",105629620,2025-01-16 00:00:00.000,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2,1140754238152012297150676228477112860,Costs,CST040,declaration_24chlc01976_105629620,
Collections,24CHLC01976,649896798553987200,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",108523885,2025-05-22 00:00:00.000,Declaration (name extension),2,874923064722557576551673381125633185,Declaration,DEC010,declaration_24chlc01976_108523885,https://drive.google.com/file/d/1DDNaIYrWXiqvDwjdBF5mYy0-y0oBtXIC/view?usp=drivesdk
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98379413,2024-02-01 00:00:00.000,Complaint,2,221160625409556956279712579872425154,Complaint,COM040,complaint_24chlc03202_98379413,https://drive.google.com/file/d/1DmYh83rDxEEb30c0Qm6tfeao1SG4Q-qR/view?usp=drivesdk
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98379414,2024-02-01 00:00:00.000,Summons,2,151963888325293565538426906025095401,Issuance,ISS030,,
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98379415,2024-02-01 00:00:00.000,Civil Case Cover Sheet,2,1260560577316537524502581226450455411,Miscellaneous,MISC020,,
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98379416,2024-02-01 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",2,738127867665900934477448758296120495,Order to Show Cause,OSC030,,
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98379417,2024-02-01 00:00:00.000,Notice of Case Assignment - Limited Civil Case,2,772083347922276499754977750545983036,Notice,NTC040L,,
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99555727,2024-03-28 00:00:00.000,Proof of Personal Service,2,641887562890276119983988520953053386,Proof of Service,POS110,,
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",100516048,2024-05-14 00:00:00.000,Request for Entry of Default / Judgment,2,1252373026909718288984037051269568343,Request,REQ080,request_for_default_judgment_24chlc03202_100516048,https://drive.google.com/file/d/1uZNGBeDgJL5MFsKcVxXL6dMHhGKG0W2E/view?usp=drivesdk
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",100516049,2024-05-14 00:00:00.000,Declaration (name extension),2,387027344791875986466614532202779874,Declaration,DEC010,declaration_24chlc03202_100516049,https://drive.google.com/file/d/1qsOkja29CywMQAiohXWitCZHZNBHGvoJ/view?usp=drivesdk
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",100516051,2024-05-14 00:00:00.000,Declaration (name extension),2,145943446033737503095858245168426687,Declaration,DEC010,declaration_24chlc03202_100516051,https://drive.google.com/file/d/1BbAKUpC87DO1gddiIRxiwZOjFNzqmS5G/view?usp=drivesdk
Collections,24CHLC03202,475827347655232960,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",100516050,2024-05-17 00:00:00.000,Default Judgment,2,1181138035477548021417880070217486844,Judgment,JUD020,,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98531768,2024-02-08 00:00:00.000,Complaint,2,790914506532552143212128969925620779,Complaint,COM040,complaint_24chlc04065_98531768,https://drive.google.com/file/d/1_fh0q5m51Ln8LJI-HLrmLVdT8m7ovQsp/view?usp=drivesdk
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98531769,2024-02-08 00:00:00.000,Civil Case Cover Sheet,2,996038396759650750497060048692904336,Miscellaneous,MISC020,,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98531770,2024-02-08 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),2,418776146152266009570493423348322002,Declaration,DEC075,declaration_24chlc04065_98531770,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98531771,2024-02-08 00:00:00.000,Summons,2,998619799079570141035625321347113753,Issuance,ISS030,,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98531772,2024-02-08 00:00:00.000,Declaration (name extension),2,140564599274944328258979848795217557,Declaration,DEC010,declaration_24chlc04065_98531772,https://drive.google.com/file/d/1YHLYg5HQWAcBYNlKd9p70wpMQt8Pn4k8/view?usp=drivesdk
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98531773,2024-02-08 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",2,786357558520083937702382125294701637,Order to Show Cause,OSC030,,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98531774,2024-02-08 00:00:00.000,Notice of Case Assignment - Limited Civil Case,2,307258737394080190933302629023475063,Notice,NTC040L,,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",98702729,2024-02-20 00:00:00.000,Proof of Personal Service,2,719222674958020641579696966663784345,Proof of Service,POS110,,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99783222,2024-04-09 00:00:00.000,Request for Entry of Default / Judgment,2,1208359098819268500213420891849428442,Request,REQ080,request_for_default_judgment_24chlc04065_99783222,https://drive.google.com/file/d/1ayeeET5BBEszfiark0FOat3Rp3pR4U4E/view?usp=drivesdk
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99783224,2024-04-09 00:00:00.000,Declaration re: Attorney's Fees,2,36864979185626167437982046651272018,Declaration,DEC080,declaration_24chlc04065_99783224,
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99783225,2024-04-09 00:00:00.000,Declaration (name extension),2,920137169627803087749311813326682867,Declaration,DEC010,declaration_24chlc04065_99783225,https://drive.google.com/file/d/1gGDeh7s83lfvGk4njNR-dTkXYUy1XE3W/view?usp=drivesdk
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99783226,2024-04-09 00:00:00.000,Declaration (name extension),2,199775238423499072187265969143354072,Declaration,DEC010,declaration_24chlc04065_99783226,https://drive.google.com/file/d/1AO_mjs1SZmMrJDkjCtYP7_1nY7FO5wtJ/view?usp=drivesdk
Collections,24CHLC04065,554475857485830080,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99783227,2024-04-09 00:00:00.000,Declaration (name extension),2,1102201941434658641787629873415254145,Declaration,DEC010,declaration_24chlc04065_99783227,https://drive.google.com/file/d/1SlyeFcC7pT2Ca7yPlDJbfXvBFb22h7FO/view?usp=drivesdk
