CASE_NUMBER,DOCUMENT_ID,DOCUMENT_FILED_DATE,DOCUMENT_NAME,DOCUMENT_NAME_DRIVE,LINK_DRIVE
23CHLC12580,98734052,2024-02-20 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc12580_98734052,https://drive.google.com/file/d/1Uil18fwcwel-_4czjh2DIi_vtPF2yLv-/view?usp=drivesdk
23CHLC12580,98734053,2024-02-20 00:00:00.000,Declaration (name extension),declaration_23chlc12580_98734053,https://drive.google.com/file/d/1HAI9ngp8VelUY09GvbbdPgXkGLs3u3hE/view?usp=drivesdk
23CHLC12580,98734054,2024-02-20 00:00:00.000,Declaration (name extension),declaration_23chlc12580_98734054,https://drive.google.com/file/d/1IFJClMTB_GSaPjuvsMeOnyiito8_Qzm0/view?usp=drivesdk
23CHLC12580,98734055,2024-02-20 00:00:00.000,Request for Dismissal,,
23CHLC12580,98734056,2024-02-20 00:00:00.000,Default Judgment,,
23CHLC12580,98734057,2024-02-20 00:00:00.000,Summary of the Case,,
23CHLC12580,98734058,2024-02-20 00:00:00.000,Declaration (name extension),declaration_23chlc12580_98734058,https://drive.google.com/file/d/1xwz4ikfzcASYNR_JhAVp0v02RKT4t_YC/view?usp=drivesdk
23CHLC12580,98783473,2024-02-20 00:00:00.000,Notice of Rejection of Electronic Filing,,
23CHLC12580,98783482,2024-02-22 00:00:00.000,Certificate of Mailing for,,
23CHLC12580,100499368,2024-05-14 00:00:00.000,Minute Order,,
23CHLC12580,103469438,2024-10-03 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc12580_103469438,
23CHLC12580,103469439,2024-10-03 00:00:00.000,Declaration (name extension),declaration_23chlc12580_103469439,
23CHLC12580,103469441,2024-10-03 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23chlc12580_103469441,
23CHLC12580,103469442,2024-10-03 00:00:00.000,Declaration re: Attorney's Fees,declaration_23chlc12580_103469442,
23CHLC12580,103469443,2024-10-03 00:00:00.000,Summary of the Case,,
23CHLC12580,103469440,2024-10-15 00:00:00.000,Judgment,,
23CHLC16737,94093388,2023-06-29 00:00:00.000,Complaint,complaint_23chlc16737_94093388,https://drive.google.com/file/d/1Xvxnlal1N8QXwlwNMz9ry-ynvqNKOnq1/view?usp=drivesdk
23CHLC16737,94093389,2023-06-29 00:00:00.000,Civil Case Cover Sheet,,
23CHLC16737,94093390,2023-06-29 00:00:00.000,Summons,,
23CHLC16737,94093391,2023-06-29 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),declaration_23chlc16737_94093391,
23CHLC16737,94093392,2023-06-29 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC16737,94093393,2023-06-29 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC16737,94690802,2023-07-31 00:00:00.000,Proof of Personal Service,,
23CHLC16737,101484749,2024-06-28 00:00:00.000,Notice of Change of Firm Name,,
23CHLC16737,101484751,2024-06-28 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc16737_101484751,
23CHLC16737,101484752,2024-06-28 00:00:00.000,Declaration (name extension),declaration_23chlc16737_101484752,https://drive.google.com/file/d/18c9xC9Mqa7k-iEsM1by8JniiatmtoxW6/view?usp=drivesdk
23CHLC16737,101576794,2024-07-05 00:00:00.000,Minute Order,,
23CHLC16737,103665958,2024-10-10 00:00:00.000,Declaration Pursuant to 585 CCP in Support of Default Judgment,declaration_23chlc16737_103665958,https://drive.google.com/file/d/1G1-uvY4XaEGyaMhzAx8Wpze8P8R4c5jY/view?usp=drivesdk
23CHLC16737,103665959,2024-10-10 00:00:00.000,Declaration (name extension),declaration_23chlc16737_103665959,https://drive.google.com/file/d/1bGQBdjYbclM3PQwisICi6qXqSveuO80Q/view?usp=drivesdk
23CHLC16737,103665960,2024-10-10 00:00:00.000,Declaration (name extension),declaration_23chlc16737_103665960,https://drive.google.com/file/d/1N9XxD_m2a6hdUD0zX4EP6gCk9QY9UvgJ/view?usp=drivesdk
23CHLC16737,103665961,2024-10-10 00:00:00.000,Request for Dismissal,,
23CHLC16737,103665962,2024-10-10 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc16737_103665962,https://drive.google.com/file/d/1j9XBY4ABC9FytUKQGO_U3UgUtIZVOsBm/view?usp=drivesdk
23CHLC16737,103665957,2024-10-16 00:00:00.000,Default Judgment,,
23CHLC18504,94449510,2023-07-17 00:00:00.000,Complaint,complaint_23chlc18504_94449510,https://drive.google.com/file/d/1wa2PU5_wQTRXreGgbhEjj5TnumK1G2bT/view?usp=drivesdk
23CHLC18504,94449511,2023-07-17 00:00:00.000,Civil Case Cover Sheet,,
23CHLC18504,94449512,2023-07-17 00:00:00.000,Summons,,
23CHLC18504,94449513,2023-07-17 00:00:00.000,Declaration (name extension),declaration_23chlc18504_94449513,https://drive.google.com/file/d/1YAnaw4KhMK4dzCgaWqWC440CUS6AqGab/view?usp=drivesdk
23CHLC18504,94449514,2023-07-17 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC18504,94449515,2023-07-17 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC18504,94540038,2023-07-21 00:00:00.000,Declaration (name extension),declaration_23chlc18504_94540038,https://drive.google.com/file/d/1_ABzd6C_s48pNNOozZeGn_sREkBFZn3J/view?usp=drivesdk
23CHLC18504,94553073,2023-07-24 00:00:00.000,Declaration (name extension),declaration_23chlc18504_94553073,https://drive.google.com/file/d/1XbSyl0_3zXuRjxuxzHjOPUqnGBL2Fvmf/view?usp=drivesdk
23CHLC18504,100466094,2024-05-13 00:00:00.000,Proof of Personal Service,,
23CHLC18504,101892392,2024-07-22 00:00:00.000,Minute Order,,
23CHLC18504,101892395,2024-07-22 00:00:00.000,Certificate of Mailing for,,
23CHLC18504,103409315,2024-09-30 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc18504_103409315,https://drive.google.com/file/d/1IEl2dNhHpni6lpsD-vTUbZBwt8D1qDW9/view?usp=drivesdk
23CHLC18504,103409316,2024-09-30 00:00:00.000,Request for Dismissal,,
23CHLC18504,103409317,2024-09-30 00:00:00.000,Declaration (name extension),declaration_23chlc18504_103409317,https://drive.google.com/file/d/1khRl9-uOPgFQ3ktU71zGEjIucxyp3jS2/view?usp=drivesdk
23CHLC18504,103409318,2024-09-30 00:00:00.000,Declaration (name extension),declaration_23chlc18504_103409318,https://drive.google.com/file/d/1TN_aUDl5xhh1M6Bz7-wG2nkRADriUjlV/view?usp=drivesdk
23CHLC18504,103409319,2024-09-30 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23chlc18504_103409319,
23CHLC18504,103409320,2024-09-30 00:00:00.000,Declaration (name extension),declaration_23chlc18504_103409320,https://drive.google.com/file/d/15CIl8934HUb242Vsk3d-ylqJC3QFJVF1/view?usp=drivesdk
23CHLC18504,103409321,2024-10-09 00:00:00.000,Judgment,,
23CHLC18998,94523059,2023-07-20 00:00:00.000,Complaint,complaint_23chlc18998_94523059,https://drive.google.com/file/d/1MHz-FUgffu8UK3g-hO01g2km0Ji-WhPE/view?usp=drivesdk
23CHLC18998,94523060,2023-07-20 00:00:00.000,Summons,,
23CHLC18998,94523062,2023-07-20 00:00:00.000,Civil Case Cover Sheet,,
23CHLC18998,94523063,2023-07-20 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),declaration_23chlc18998_94523063,
23CHLC18998,94523068,2023-07-20 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC18998,94523070,2023-07-20 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC18998,95591456,2023-09-13 00:00:00.000,Proof of Service by Substituted Service,,
23CHLC18998,98768329,2024-02-21 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc18998_98768329,https://drive.google.com/file/d/1cHqkg95SJGpH-Xhl4ZrpADJpPK4cs1jE/view?usp=drivesdk
23CHLC18998,98768330,2024-02-21 00:00:00.000,Default Judgment,,
23CHLC18998,98768331,2024-02-21 00:00:00.000,Summary of the Case,,
23CHLC18998,98768333,2024-02-21 00:00:00.000,Declaration (name extension),declaration_23chlc18998_98768333,https://drive.google.com/file/d/1LW5CR_SZyhNr7Uxk3GLEIgdvZTPOEeyn/view?usp=drivesdk
23CHLC18998,98768334,2024-02-21 00:00:00.000,Request for Dismissal,,
23CHLC18998,98768335,2024-02-21 00:00:00.000,Declaration re: Attorney's Fees,declaration_23chlc18998_98768335,
23CHLC18998,98768336,2024-02-21 00:00:00.000,Declaration (name extension),declaration_23chlc18998_98768336,https://drive.google.com/file/d/1XxlmCcZc-wN0KI34HaoTlfPuKw-g5B8k/view?usp=drivesdk
23CHLC18998,98828877,2024-02-21 00:00:00.000,Notice of Rejection of Electronic Filing,,
23CHLC18998,98828897,2024-02-23 00:00:00.000,Certificate of Mailing for,,
23CHLC18998,101937211,2024-07-25 00:00:00.000,Minute Order,,
23CHLC18998,104259534,2024-11-06 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc18998_104259534,
23CHLC18998,104259536,2024-11-06 00:00:00.000,Declaration (name extension),declaration_23chlc18998_104259536,
23CHLC18998,104259537,2024-11-06 00:00:00.000,Summary of the Case,,
23CHLC18998,104259538,2024-11-06 00:00:00.000,Declaration re: Attorney's Fees,declaration_23chlc18998_104259538,
23CHLC18998,104259539,2024-11-06 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23chlc18998_104259539,
23CHLC18998,104259535,2024-11-15 00:00:00.000,Judgment,,
23CHLC22869,95289635,2023-08-28 00:00:00.000,Complaint,complaint_23chlc22869_95289635,https://drive.google.com/file/d/1Urp2zMzfPBGOXXuvTTXXoGdKMz9yvu1l/view?usp=drivesdk
23CHLC22869,95289636,2023-08-28 00:00:00.000,Summons,,
23CHLC22869,95289637,2023-08-28 00:00:00.000,Civil Case Cover Sheet,,
23CHLC22869,95289638,2023-08-28 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC22869,95289639,2023-08-28 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC22869,95700431,2023-09-18 00:00:00.000,Proof of Personal Service,,
23CHLC22869,98728501,2024-02-20 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc22869_98728501,
23CHLC22869,98728502,2024-02-20 00:00:00.000,Declaration (name extension),declaration_23chlc22869_98728502,https://drive.google.com/file/d/1yVWyr0DuyjqumINW0n6KDcr36l7Ra0dn/view?usp=drivesdk
23CHLC22869,98728503,2024-02-20 00:00:00.000,Summary of the Case,,
23CHLC22869,98728504,2024-02-20 00:00:00.000,Declaration (name extension),declaration_23chlc22869_98728504,https://drive.google.com/file/d/1dGLDsV5fyaZe3dmWUSpaGLsWOxgqDnCn/view?usp=drivesdk
23CHLC22869,98728505,2024-02-20 00:00:00.000,Default Judgment,,
23CHLC22869,98728506,2024-02-20 00:00:00.000,Request for Dismissal,,
23CHLC22869,98728507,2024-02-20 00:00:00.000,Declaration (name extension),declaration_23chlc22869_98728507,https://drive.google.com/file/d/1YVKnxsIYKQgUDF5f2MfLPdt_7i18lW1O/view?usp=drivesdk
23CHLC22869,98782393,2024-02-20 00:00:00.000,Notice of Rejection of Electronic Filing,,
23CHLC22869,98782421,2024-02-22 00:00:00.000,Certificate of Mailing for,,
23CHLC22869,102782442,2024-09-03 00:00:00.000,Minute Order,,
23CHLC22869,103520646,2024-10-07 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc22869_103520646,https://drive.google.com/file/d/1YdxSwt0_sX6Cqr5pUBPiB_GHf9Xu3uvc/view?usp=drivesdk
23CHLC22869,103520647,2024-10-07 00:00:00.000,Declaration re: Attorney's Fees,declaration_23chlc22869_103520647,
23CHLC22869,103520649,2024-10-07 00:00:00.000,Request for Dismissal,,
23CHLC22869,103520650,2024-10-07 00:00:00.000,Declaration (name extension),declaration_23chlc22869_103520650,https://drive.google.com/file/d/1XHdPOxaU5iACFlLoQlp0HDFSrn1ZdYH0/view?usp=drivesdk
23CHLC22869,103520651,2024-10-07 00:00:00.000,Summary of the Case,,
23CHLC22869,103520652,2024-10-07 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23chlc22869_103520652,
23CHLC22869,103520648,2024-10-15 00:00:00.000,Judgment,,
23CHLC26147,95952518,2023-10-02 00:00:00.000,Complaint,complaint_23chlc26147_95952518,https://drive.google.com/file/d/1vNAQv_ob7vOcTPS7kDTkD9k_6IICJnQo/view?usp=drivesdk
23CHLC26147,95952519,2023-10-02 00:00:00.000,Declaration (name extension),declaration_23chlc26147_95952519,https://drive.google.com/file/d/1upjTj63GrYOUqYJc_md_vCklCsIe21vL/view?usp=drivesdk
23CHLC26147,95952520,2023-10-02 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),declaration_23chlc26147_95952520,
23CHLC26147,95952521,2023-10-02 00:00:00.000,Summons,,
23CHLC26147,95952522,2023-10-02 00:00:00.000,Civil Case Cover Sheet,,
23CHLC26147,95952523,2023-10-02 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC26147,95952524,2023-10-02 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC26147,96155193,2023-10-10 00:00:00.000,Proof of Personal Service,,
23CHLC26147,103503517,2024-10-07 00:00:00.000,Minute Order,,
23CHLC26147,103847097,2024-10-21 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc26147_103847097,https://drive.google.com/file/d/1C19VbGGBdvala5R3ySa48IJhjbQN3-gB/view?usp=drivesdk
23CHLC26147,103847098,2024-10-21 00:00:00.000,Declaration (name extension),declaration_23chlc26147_103847098,https://drive.google.com/file/d/1IZy5tMt3lpZetqti3BBOBc5GhwYj5gtn/view?usp=drivesdk
23CHLC26147,103847099,2024-10-21 00:00:00.000,Declaration (name extension),declaration_23chlc26147_103847099,https://drive.google.com/file/d/1TI87-xQYFCnhAC78OpNJN51eEfaavE3M/view?usp=drivesdk
23CHLC26147,103847100,2024-10-21 00:00:00.000,Declaration re: Attorney's Fees,declaration_23chlc26147_103847100,
23CHLC26147,103847101,2024-10-21 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23chlc26147_103847101,
23CHLC26147,103847102,2024-10-21 00:00:00.000,Request for Dismissal,,
23CHLC26147,103847103,2024-10-25 00:00:00.000,Judgment,,
23CHLC28557,96448482,2023-10-24 00:00:00.000,Complaint,complaint_23chlc28557_96448482,https://drive.google.com/file/d/1XN61ptnNWhH737IsTGdrZeEVa0oIEITh/view?usp=drivesdk
23CHLC28557,96448483,2023-10-24 00:00:00.000,Declaration (name extension),declaration_23chlc28557_96448483,https://drive.google.com/file/d/1Lnp7zOWTDIwe-9XQuU-AQYbg868AFesr/view?usp=drivesdk
23CHLC28557,96448484,2023-10-24 00:00:00.000,Summons,,
23CHLC28557,96448485,2023-10-24 00:00:00.000,Civil Case Cover Sheet,,
23CHLC28557,96448486,2023-10-24 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC28557,96448487,2023-10-24 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC28557,96709175,2023-11-06 00:00:00.000,Proof of Service by Substituted Service,,
23CHLC28557,96709254,2023-11-06 00:00:00.000,Proof of Service by Substituted Service,,
23CHLC28557,104016550,2024-10-28 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc28557_104016550,https://drive.google.com/file/d/1A9MLrY3EIZNDdKvz8a3DFoQ9VRi9B731/view?usp=drivesdk
23CHLC28557,104016551,2024-10-28 00:00:00.000,Declaration (name extension),declaration_23chlc28557_104016551,https://drive.google.com/file/d/1I4vogydZb2-EkYJzuhRDdgwpncte5G8U/view?usp=drivesdk
23CHLC28557,104016552,2024-10-28 00:00:00.000,Declaration (name extension),declaration_23chlc28557_104016552,https://drive.google.com/file/d/1L4jAL3qUcTDsAuS0YIeJUjtrX7n9B4-t/view?usp=drivesdk
23CHLC28557,104016553,2024-10-28 00:00:00.000,Declaration re: Attorney's Fees,declaration_23chlc28557_104016553,
23CHLC28557,104016554,2024-10-28 00:00:00.000,Declaration (name extension),declaration_23chlc28557_104016554,https://drive.google.com/file/d/1m7TrpbgAS3bC-jYfk3LjN3E1B9mG-fb5/view?usp=drivesdk
23CHLC28557,104016555,2024-10-28 00:00:00.000,Request for Dismissal,,
23CHLC28557,104016557,2024-10-28 00:00:00.000,Declaration (name extension),declaration_23chlc28557_104016557,https://drive.google.com/file/d/18FiWQdxkPDUEDt4O3pifMwqufPUFUUl0/view?usp=drivesdk
23CHLC28557,104016071,2024-10-29 00:00:00.000,Minute Order,,
23CHLC28557,104016556,2024-11-13 00:00:00.000,Default Judgment,,
23NWLC25562,95424645,2023-08-30 00:00:00.000,Complaint,complaint_23nwlc25562_95424645,https://drive.google.com/file/d/1ZE2NEBLGOX1VEz47K6EiAlPgVoXy9kHs/view?usp=drivesdk
23NWLC25562,95424646,2023-08-30 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),declaration_23nwlc25562_95424646,
23NWLC25562,95424647,2023-08-30 00:00:00.000,Civil Case Cover Sheet,,
23NWLC25562,95424648,2023-08-30 00:00:00.000,Summons,,
23NWLC25562,95424649,2023-08-30 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23NWLC25562,95424650,2023-08-30 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23NWLC25562,95491613,2023-09-06 00:00:00.000,Proof of Personal Service,,
23NWLC25562,102826668,2024-09-04 00:00:00.000,Minute Order,,
23NWLC25562,103551479,2024-09-25 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23nwlc25562_103551479,https://drive.google.com/file/d/1TGsHlWziloSO3T6iiQf2ku_IbmvKw_G6/view?usp=drivesdk
23NWLC25562,103551480,2024-09-25 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23nwlc25562_103551480,
23NWLC25562,103551481,2024-09-25 00:00:00.000,Request for Dismissal,,
23NWLC25562,103551482,2024-09-25 00:00:00.000,Declaration Pursuant to 585 CCP in Support of Default Judgment,declaration_23nwlc25562_103551482,https://drive.google.com/file/d/1hYxL1C7MuHO-a4qSPDokq0bwGQfdMm2O/view?usp=drivesdk
23NWLC25562,103551483,2024-10-11 00:00:00.000,Judgment,,
23NWLC25562,105220752,2024-12-06 00:00:00.000,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",declaration_23nwlc25562_105220752,
23NWLC25562,105220751,2024-12-24 00:00:00.000,Writ of Execution,,
23NWLC25562,107476132,2025-04-08 00:00:00.000,Declaration (name extension),declaration_23nwlc25562_107476132,
23NWLC29036,96065301,2023-10-03 00:00:00.000,Complaint,complaint_23nwlc29036_96065301,https://drive.google.com/file/d/16xIIHQwbGbjN7sxDbtVONShjDhTIZb3t/view?usp=drivesdk
23NWLC29036,96065302,2023-10-03 00:00:00.000,Civil Case Cover Sheet,,
23NWLC29036,96065303,2023-10-03 00:00:00.000,Summons,,
23NWLC29036,96065304,2023-10-03 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23NWLC29036,96065305,2023-10-03 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23NWLC29036,96591305,2023-10-27 00:00:00.000,Proof of Service by Substituted Service,,
23NWLC29036,97200501,2023-11-30 00:00:00.000,Amended Complaint,complaint_23nwlc29036_97200501,
23NWLC29036,97200502,2023-12-01 00:00:00.000,Summons,,
23NWLC29036,103538707,2024-10-08 00:00:00.000,Minute Order,,
23NWLC29036,103827421,2024-10-09 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23nwlc29036_103827421,https://drive.google.com/file/d/1dBcSA8xRr0quuu9WVDQHf0cpfbLeGgHT/view?usp=drivesdk
23NWLC29036,103827422,2024-10-09 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23nwlc29036_103827422,
23NWLC29036,103827423,2024-10-09 00:00:00.000,Request for Dismissal,,
23NWLC29036,103827424,2024-10-09 00:00:00.000,Declaration Pursuant to 585 CCP in Support of Default Judgment,declaration_23nwlc29036_103827424,https://drive.google.com/file/d/1paKAxLvg0I45JUu12M-X2e0V-R989CzP/view?usp=drivesdk
23NWLC29036,103827425,2024-10-09 00:00:00.000,Declaration re: Attorney's Fees,declaration_23nwlc29036_103827425,
23NWLC29036,103827427,2024-10-09 00:00:00.000,Declaration (name extension),declaration_23nwlc29036_103827427,https://drive.google.com/file/d/1zTQH_9EhYl1PikkVZk9drFy6Sai76tbp/view?usp=drivesdk
23NWLC29036,103827426,2024-10-22 00:00:00.000,Judgment,,
23NWLC30820,96449011,2023-10-19 00:00:00.000,Complaint,complaint_23nwlc30820_96449011,https://drive.google.com/file/d/1lBQKYFVD-h8IxbpanW7u_l7I59ZTouN4/view?usp=drivesdk
23NWLC30820,96449012,2023-10-19 00:00:00.000,Civil Case Cover Sheet,,
23NWLC30820,96449013,2023-10-19 00:00:00.000,Summons,,
23NWLC30820,96449014,2023-10-19 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23NWLC30820,96449015,2023-10-19 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23NWLC30820,96759645,2023-11-07 00:00:00.000,Proof of Service by Substituted Service,,
23NWLC30820,103949578,2024-10-24 00:00:00.000,Minute Order,,
23NWLC30820,105228461,2024-12-17 00:00:00.000,Request for Dismissal,,
23NWLC30820,105228462,2024-12-17 00:00:00.000,Declaration of Costs - CCP 1033,declaration_23nwlc30820_105228462,
23NWLC30820,105228464,2024-12-17 00:00:00.000,Declaration Pursuant to 585 CCP in Support of Default Judgment,declaration_23nwlc30820_105228464,https://drive.google.com/file/d/1sidU4kajHD7dORmg9fpfJy4Y8pR4wozV/view?usp=drivesdk
23NWLC30820,105228465,2024-12-17 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23nwlc30820_105228465,https://drive.google.com/file/d/1OJN4Hd1khcEr7cJWJUpwYMVow2iOzHde/view?usp=drivesdk
23NWLC30820,105228463,2024-12-27 00:00:00.000,Judgment,,
23NWLC32904,96754878,2023-11-08 00:00:00.000,Complaint,complaint_23nwlc32904_96754878,https://drive.google.com/file/d/1Tqs7Mg_4zFYigOLLxms9VX3P7blVzBrg/view?usp=drivesdk
23NWLC32904,96754879,2023-11-08 00:00:00.000,Summons,,
23NWLC32904,96754880,2023-11-08 00:00:00.000,Civil Case Cover Sheet,,
